,barcode,cpg_oid,cpg_ref,categoryCode,itemID,brandID
514,511111615866,5f4802bdbe37ce0c8303373c,Cogs,BAKING,db70835e-061d-5a86-846a-61cb9536a886,5f4802bdbe37ce0c83033740
515,511111901587,5332f5fbe4b03c9a25efd0ba,Cogs,GROCERY,6871d599-fd3d-55e3-9618-8ff9b3dd2674,585a96e9e4b03e62d1ce0e8b
516,511111503743,53e10d6368abd3c7065097cc,Cpgs,,1b7a9866-b38a-547b-aad6-545dd71f4bda,5332f756e4b03c9a25efd113
517,511111504573,5a734034e4b0d58f376be874,Cogs,SNACKS,0891fbcb-8ab7-56bf-8c13-a16d6d9d2975,5afda67de4b0c11cfecd49fc
518,511111016342,5f4bf556be37ce0b44915549,Cogs,BAKING,ee5e79f0-38f7-5360-bcd2-99ca4c91b9bb,5f4bf556be37ce0b4491554c
519,511111017226,5fa1c567be37ce402c4618ef,Cogs,BAKING,3ea7044f-e921-570c-8a49-988fa5c4f282,5fa1c567be37ce402c4618f3
520,511111704423,5a734034e4b0d58f376be874,Cogs,GROCERY,3e65ae7c-92e5-5c1d-84ce-e0dec3b2299c,5ab15669e4b0be0a89bb0b08
521,511111803881,53e10d6368abd3c7065097cc,Cpgs,,c3132228-5dad-5a82-9a62-3ecfb47fa713,5332f612e4b03c9a25efd0c4
522,511111215264,5f10c05cbe37ce238c6cabaf,Cogs,CLEANING_AND_HOME_IMPROVEMENT,509ddc4a-d70f-59b3-8c33-60a678a965db,5f21ca86be37ce7958c5952b
523,511111302292,5332f709e4b03c9a25efd0f1,Cogs,BEER WINE SPIRITS,a84e0af2-72e1-5b35-8e6f-62e62c4c24d2,57e580e8e4b0ac389136a304
524,511111001324,5332f5fbe4b03c9a25efd0ba,Cogs,SNACKS,cac876f6-db94-5d9a-b72c-d0bc2b7dfc53,58861c7e4e8d0d20bc42c4f7
525,511111002871,5332f5ebe4b03c9a25efd0a8,Cpgs,,55706329-f7b3-5b46-bfc9-085eb1e22c92,5332fa84e4b03c9a25efd232
526,511111804833,5332f5f6e4b03c9a25efd0b4,Cogs,FROZEN,4bcab1ce-5d2c-54f3-8247-f834f0c57224,5d2f3eada3a01810a2174aeb
527,511111906070,5332f5f3e4b03c9a25efd0ae,Cogs,BREAKFAST & CEREAL,c9667654-47e9-5f9c-916d-f4fb6975cdb7,5daf63151dda2c3e1416ae9b
528,511111116806,5f772951be37ce6b592e90d1,Cogs,BAKING,3231e788-09c6-5755-9175-fd5d85051276,5f772952be37ce6b592e90d5
529,511111302575,5332f5fbe4b03c9a25efd0ba,Cogs,BREAKFAST & CEREAL,181490ed-d809-54b7-9267-37ec268c3dfa,55bf8c15e4b0d8e685c1489c
530,511111016908,5f7ba644be37ce23081c5289,Cogs,BAKING,939b1cc9-cbcb-59cd-98a0-104a4e1a77ad,5f7ba645be37ce23081c528c
531,511111805571,53e10d6368abd3c7065097cc,Cogs,HEALTH & WELLNESS,2649a9bd-ec00-5079-b64e-635c64ec5f1d,5da605bea60b87376833e34a
532,511111816102,5f493e72be37ce64d0ae36c2,Cogs,BAKING,dcdab8ae-05e0-58fa-aa39-6f48cb963697,5f493e72be37ce64d0ae36c5
533,511111418214,5332fa12e4b03c9a25efd1e7,Cogs,CANDY_AND_SWEETS,125fc82e-3860-51a9-bc4e-684054502060,5fd3acb6be37ce0d9386bb43
534,511111800644,5332f709e4b03c9a25efd0f1,Cogs,BEER WINE SPIRITS,99b17fd6-733c-5de7-929d-76ca919f6af4,5952a596e4b08f39def64d03
535,511111715603,5f3ff222be37ce1c81aa1e0c,Cogs,BAKING,d6a60293-70fb-5b15-86c2-a67d1083c296,5f3ff222be37ce1c81aa1e0d
536,511111204923,5332f5fbe4b03c9a25efd0ba,Cogs,SNACKS,ea576975-7337-58fe-94e3-58f62c196b3f,5d6027f46d5f3b23d1bc7906
